	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_3785	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__AT425-EubC11 terrestrial group	f__	g__	s__
OTU_11667	k__Bacteria	p__Parcubacteria	c__	o__	f__	g__	s__
OTU_11450	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__480-2	g__	s__
OTU_10799	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__	s__
OTU_6773	k__Bacteria	p__Chloroflexi	c__Ardenticatenia	o__	f__	g__	s__
OTU_11904	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_13841	k__Bacteria	p__Cyanobacteria	c__Cyanobacteria	o__SubsectionIII	f__FamilyI	g__Arthronema	s__
OTU_549	k__Bacteria	p__Chloroflexi	c__KD4-96	o__	f__	g__	s__
OTU_14212	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_9433	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 4	f__11-24	g__	s__
OTU_13447	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__MNG7	g__	s__
OTU_2487	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Planctomyces	s__
OTU_12683	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_4656	k__Bacteria	p__Chlorobi	c__Chlorobia	o__Chlorobiales	f__OPB56	g__	s__
OTU_9236	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__
OTU_11853	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__480-2	g__	s__
OTU_2545	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Anaerolinea	s__
OTU_9598	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Rickettsiales Incertae Sedis	g__Constrictibacter	s__
OTU_10292	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_11989	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Anaerolinea	s__
OTU_9962	k__Bacteria	p__Chlorobi	c__Chlorobia	o__Chlorobiales	f__OPB56	g__	s__
OTU_9705	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__
OTU_6000	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 4	f__11-24	g__	s__
OTU_5590	k__Bacteria	p__Fibrobacteres	c__Fibrobacteria	o__Fibrobacterales	f__Fibrobacteraceae	g__possible genus 06	s__
OTU_13497	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__BSV26	g__	s__
OTU_13740	k__Bacteria	p__Thermotogae	c__Thermotogae	o__Thermotogales	f__Thermotogaceae	g__GAL15	s__
OTU_6254	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_8307	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
OTU_9661	k__Bacteria	p__WCHB1-60	c__	o__	f__	g__	s__
OTU_6329	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_13953	k__Archaea	p__Woesearchaeota (DHVEG-6)	c__	o__	f__	g__	s__
OTU_7069	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__
OTU_8890	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_13627	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Arcobacter	s__
OTU_9552	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__LD29	g__	s__
OTU_10353	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__	s__
OTU_12677	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__MSB-1E8	g__	s__
OTU_12910	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_13382	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__
OTU_11033	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_12835	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_5776	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Bryobacter	s__
OTU_7406	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_13711	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Sh765B-TzT-29	f__	g__	s__
OTU_10130	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__	s__
OTU_1610	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Saprospiraceae	g__Candidatus Aquirestis	s__
OTU_9386	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Holophagales	f__Holophagaceae	g__	s__
OTU_8948	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Pirellula	s__
OTU_9719	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_6675	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_8801	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_10293	k__Bacteria	p__Chlorobi	c__Chlorobia	o__Chlorobiales	f__OPB56	g__	s__
OTU_14057	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__
OTU_14158	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Haliangiaceae	g__Haliangium	s__
OTU_9301	k__Bacteria	p__WCHB1-60	c__	o__	f__	g__	s__
OTU_5255	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Gemmata	s__
OTU_13736	k__Bacteria	p__Aerophobetes	c__	o__	f__	g__	s__
OTU_6847	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_7662	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__hgcI clade	s__
OTU_11276	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_13526	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__VHS-B3-70	g__	s__
OTU_4974	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_4029	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
OTU_11632	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__	s__
OTU_10579	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__Phycisphaerales	f__	g__	s__
OTU_8772	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidia Incertae Sedis	f__Draconibacteriaceae	g__	s__
OTU_9405	k__Bacteria	p__Parcubacteria	c__	o__	f__	g__	s__
OTU_9663	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcaceae UCG-012	s__
OTU_13536	k__Archaea	p__Woesearchaeota (DHVEG-6)	c__	o__	f__	g__	s__
OTU_8345	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__BIrii41	g__	s__
OTU_4836	Unassigned	p__	c__	o__	f__	g__	s__
OTU_7426	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__
OTU_9718	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Desulfonema	s__
OTU_13103	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_9955	Unassigned	p__	c__	o__	f__	g__	s__
OTU_13644	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__AKYG1722	f__	g__	s__
OTU_7161	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_7449	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_10455	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
OTU_11739	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU_5547	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_13994	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__
OTU_13628	k__Bacteria	p__Omnitrophica	c__NPL-UPA2	o__	f__	g__	s__
OTU_6244	k__Bacteria	p__Chloroflexi	c__Ardenticatenia	o__	f__	g__	s__
OTU_13905	k__Bacteria	p__Lentisphaerae	c__	o__	f__	g__	s__
OTU_9231	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Haloferula	s__
OTU_5998	k__Bacteria	p__TA06	c__	o__	f__	g__	s__
OTU_5450	k__Bacteria	p__Chlorobi	c__Chlorobia	o__Chlorobiales	f__OPB56	g__	s__
OTU_13607	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__Pla1 lineage	f__	g__	s__
OTU_6827	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_12960	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__GR-WP33-30	f__	g__	s__
OTU_13775	k__Bacteria	p__Planctomycetes	c__Pla4 lineage	o__	f__	g__	s__
OTU_9432	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Saprospiraceae	g__	s__
OTU_12085	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
OTU_4406	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	s__
OTU_4062	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__JG34-KF-361	g__	s__
OTU_1604	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Pirellula	s__
OTU_14142	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Sandaracinaceae	g__	s__
OTU_2054	k__Bacteria	p__Cyanobacteria	c__Cyanobacteria	o__SubsectionIII	f__FamilyI	g__Planktothrix	s__
OTU_11107	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Prosthecobacter	s__
OTU_9847	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__NS11-12 marine group	g__	s__
OTU_13262	k__Bacteria	p__Latescibacteria	c__	o__	f__	g__	s__
OTU_10228	k__Bacteria	p__Parcubacteria	c__	o__	f__	g__	s__
OTU_9800	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
OTU_8414	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__AKYH767	g__	s__
OTU_2135	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__	s__
OTU_5754	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Acidobacteriales	f__Acidobacteriaceae (Subgroup 1)	g__	s__
OTU_11203	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
OTU_13993	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Acidiferrobacter	s__
OTU_13623	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Anaerolinea	s__
OTU_4412	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Subgroup 7	f__	g__	s__
OTU_11705	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_10101	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__AT425-EubC11 terrestrial group	f__	g__	s__
OTU_13435	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Oligoflexales	f__Oligoflexaceae	g__	s__
OTU_4713	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_4082	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Saprospiraceae	g__	s__Tetraselmis sp. GSL018
OTU_13024	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__
OTU_9378	k__Bacteria	p__Lentisphaerae	c__WCHB1-41	o__	f__	g__	s__
OTU_9802	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_6681	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_9690	k__Bacteria	p__Cyanobacteria	c__Melainabacteria	o__Gastranaerophilales	f__	g__	s__
OTU_12806	k__Bacteria	p__Acidobacteria	c__Subgroup 22	o__	f__	g__	s__
OTU_13352	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Gordonia	s__
OTU_11881	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_8494	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_14219	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__BIrii41	g__	s__
OTU_9714	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_6755	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_10801	k__Bacteria	p__Parcubacteria	c__	o__	f__	g__	s__
OTU_11762	k__Bacteria	p__Chloroflexi	c__P2-11E	o__	f__	g__	s__
OTU_4926	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Cystobacteraceae	g__Anaeromyxobacter	s__
OTU_13631	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Actinophytocola	s__
OTU_3483	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU_12308	k__Bacteria	p__Bacteroidetes	c__	o__	f__	g__	s__
OTU_13464	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_9750	k__Bacteria	p__Candidate division OP3	c__	o__	f__	g__	s__
OTU_14249	k__Bacteria	p__Latescibacteria	c__	o__	f__	g__	s__
OTU_10948	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__Ktedonobacterales	f__HSB OF53-F07	g__	s__
OTU_9365	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Candidatus Solibacter	s__
OTU_10788	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__	s__
OTU_11868	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
OTU_9655	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Ornatilinea	s__
OTU_10005	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__	s__
OTU_13402	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__Pedosphaera	s__Pedosphaera parvula Ellin514
OTU_10279	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_13998	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_11143	k__Bacteria	p__Chloroflexi	c__Caldilineae	o__Caldilineales	f__Caldilineaceae	g__	s__
OTU_9280	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__Bryobacter	s__
OTU_13738	k__Bacteria	p__Actinobacteria	c__TakashiAC-B11	o__	f__	g__	s__
OTU_12964	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes VC2.1 Bac22	o__	f__	g__	s__
OTU_9885	Unassigned	p__	c__	o__	f__	g__	s__
OTU_11665	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_4543	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__	s__
OTU_2726	k__Bacteria	p__Cyanobacteria	c__Cyanobacteria	o__SubsectionIV	f__FamilyI	g__Nodularia	s__
OTU_14289	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__mle1-8	f__	g__	s__
OTU_1306	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Pirellula	s__
OTU_4886	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Anaerolinea	s__
OTU_12649	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 13	f__	g__	s__
OTU_12042	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_4705	k__Bacteria	p__Cyanobacteria	c__Cyanobacteria	o__SubsectionIII	f__FamilyI	g__	s__
OTU_13977	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Lineage IV	f__	g__	s__
OTU_8923	Unassigned	p__	c__	o__	f__	g__	s__
OTU_8643	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 17	f__	g__	s__
OTU_7255	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Pseudofulvimonas	s__
OTU_5424	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bacteriovoracaceae	g__	s__
OTU_11924	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Eel-36e1D6	g__	s__
OTU_6003	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobia Incertae Sedis	o__	f__	g__Candidatus Methylacidiphilum	s__
OTU_10776	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobulbaceae	g__Desulfobulbus	s__
OTU_3714	k__Bacteria	p__Chlorobi	c__Chlorobia	o__Chlorobiales	f__OPB56	g__	s__
OTU_6310	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__AKYG587	s__
OTU_4233	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__288-2	g__	s__
OTU_11004	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 2	f__	g__	s__
OTU_3482	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_6765	k__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Chloroflexales	f__Roseiflexaceae	g__Roseiflexus	s__
OTU_9738	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__	s__
OTU_5623	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Sandaracinaceae	g__	s__
OTU_11471	k__Bacteria	p__Deinococcus-Thermus	c__Deinococci	o__Deinococcales	f__Trueperaceae	g__Truepera	s__
OTU_14090	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 3	f__	g__	s__
OTU_10420	k__Bacteria	p__Latescibacteria	c__	o__	f__	g__	s__
OTU_11923	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Chitinophagaceae	g__Flavisolibacter	s__
OTU_6522	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Sandaracinaceae	g__Sandaracinus	s__
OTU_4112	k__Bacteria	p__Chloroflexi	c__Caldilineae	o__Caldilineales	f__Caldilineaceae	g__	s__
OTU_9935	k__Bacteria	p__Chloroflexi	c__TK10	o__	f__	g__	s__
OTU_4551	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Anaerolinea	s__
OTU_13666	k__Bacteria	p__Cyanobacteria	c__Cyanobacteria	o__SubsectionIII	f__FamilyI	g__Phormidium	s__
OTU_12530	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_5804	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Pirellula	s__
OTU_7082	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_10862	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Patulibacteraceae	g__Patulibacter	s__
OTU_2315	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Order III	f__	g__	s__
OTU_11261	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_11083	k__Bacteria	p__WCHB1-60	c__	o__	f__	g__	s__
OTU_4413	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_13804	k__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Chloroflexales	f__Oscillochloridaceae	g__Oscillochloris	s__
OTU_13665	k__Bacteria	p__Cyanobacteria	c__Cyanobacteria	o__SubsectionIII	f__FamilyI	g__Leptolyngbya	s__
OTU_13674	k__Bacteria	p__Verrucomicrobia	c__Spartobacteria	o__Chthoniobacterales	f__	g__	s__
OTU_14286	k__Bacteria	p__Cyanobacteria	c__Cyanobacteria	o__SubsectionIV	f__FamilyI	g__Nostoc	s__
OTU_12444	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Ornatilinea	s__
OTU_13692	k__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Chloroflexales	f__Chloroflexaceae	g__Candidatus Chloroploca	s__
OTU_8343	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__	s__
OTU_13702	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__	s__
OTU_13725	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Cellvibrionaceae	g__Simiduia	s__
OTU_2682	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 6	f__	g__	s__
OTU_8508	k__Bacteria	p__Lentisphaerae	c__Lentisphaerae RFP12 gut group	o__	f__	g__	s__
OTU_6785	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Nitrospinaceae	g__Candidatus Entotheonella	s__
OTU_13654	k__Bacteria	p__Cyanobacteria	c__Cyanobacteria	o__SubsectionIV	f__FamilyI	g__Scytonema	s__
OTU_7122	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Chitinophagaceae	g__	s__
OTU_13669	k__Bacteria	p__Cyanobacteria	c__Cyanobacteria	o__SubsectionI	f__FamilyI	g__Cyanothece	s__
OTU_8171	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Sandaracinaceae	g__	s__
OTU_4634	k__Bacteria	p__Cyanobacteria	c__Cyanobacteria	o__SubsectionIII	f__FamilyI	g__Leptolyngbya	s__
OTU_8914	Unassigned	p__	c__	o__	f__	g__	s__
OTU_11792	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__	s__
OTU_11363	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_11122	k__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Herpetosiphonales	f__Herpetosiphonaceae	g__Herpetosiphon	s__
OTU_13698	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
OTU_12040	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Pir4 lineage	s__
OTU_2843	Unassigned	p__	c__	o__	f__	g__	s__
OTU_11158	k__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Herpetosiphonales	f__Herpetosiphonaceae	g__Herpetosiphon	s__
OTU_6209	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Nannocystaceae	g__	s__
OTU_4794	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__SC-I-84	f__	g__	s__
OTU_4740	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_2973	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_13668	k__Bacteria	p__Planctomycetes	c__vadinHA49	o__	f__	g__	s__
OTU_5037	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__
OTU_6841	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillales Incertae Sedis	g__Reyranella	s__
OTU_6556	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfurellales	f__Desulfurellaceae	g__	s__
OTU_8961	k__Bacteria	p__Chloroflexi	c__Caldilineae	o__Caldilineales	f__Caldilineaceae	g__	s__
OTU_14020	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Sandaracinaceae	g__	s__
OTU_13010	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_11891	k__Bacteria	p__Acidobacteria	c__Acidobacteria	o__Subgroup 4	f__RB41	g__	s__
OTU_14299	Unassigned	p__	c__	o__	f__	g__	s__
